tag_id,name,category,count,right_tag_cn,game
1671353,tarnished_(elden_ring),4,898,tarnished_(elden_ring),elden_ring
1261730,elesis_(elsword),4,852,elesis_(elsword),elsword
503437,eve_(elsword),4,1092,eve_(elsword),elsword
1396935,bc_freedom_(emblem),0,661,bc_freedom_(emblem),emblem
1578300,taihou_(enraptured_companion)_(azur_lane),4,916,taihou_(enraptured_companion)_(azur_lane),enraptured_companion)_(azur_lane
1886396,lance_of_longinus_(evangelion),0,735,lance_of_longinus_(evangelion),evangelion
1886276,corrin_(female)_(fire_emblem),4,2957,corrin_(female)_(fire_emblem),female)_(fire_emblem
1886280,robin_(female)_(fire_emblem),4,1881,robin_(female)_(fire_emblem),female)_(fire_emblem
1886284,byleth_(female)_(fire_emblem),4,4763,byleth_(female)_(fire_emblem),female)_(fire_emblem
1886303,alear_(female)_(fire_emblem),4,933,alear_(female)_(fire_emblem),female)_(fire_emblem
1755030,fujimaru_ritsuka_(female)_(polar_chaldea_uniform),4,847,fujimaru_ritsuka_(female)_(polar_chaldea_uniform),female)_(polar_chaldea_uniform
1323324,yuna_(ff10),4,994,yuna_(ff10),ff10
1990869,adventurer_(ff11),4,2156,adventurer_(ff11),ff11
1713829,mithra_(ff11),0,1472,mithra_(ff11),ff11
1350943,adventurer_(ff14),4,708,adventurer_(ff14),ff14
1613000,warrior_of_light_(ff14),4,12512,warrior_of_light_(ff14),ff14
1696728,rydia_(ff4),4,1249,rydia_(ff4),ff4
1325863,robin_(fire_emblem),4,3159,robin_(fire_emblem),fire_emblem
1508806,julia_(fire_emblem),4,728,julia_(fire_emblem),fire_emblem
411757,roy_(fire_emblem),4,903,roy_(fire_emblem),fire_emblem
1222667,ike_(fire_emblem),4,1355,ike_(fire_emblem),fire_emblem
1533069,rhea_(fire_emblem),4,844,rhea_(fire_emblem),fire_emblem
1532746,byleth_(fire_emblem),4,6056,byleth_(fire_emblem),fire_emblem
746341,tharja_(fire_emblem),4,1318,tharja_(fire_emblem),fire_emblem
1532745,sothis_(fire_emblem),4,658,sothis_(fire_emblem),fire_emblem
765367,chrom_(fire_emblem),4,885,chrom_(fire_emblem),fire_emblem
781225,lucina_(fire_emblem),4,3806,lucina_(fire_emblem),fire_emblem
715313,marth_(fire_emblem),4,1101,marth_(fire_emblem),fire_emblem
597426,eirika_(fire_emblem),4,898,eirika_(fire_emblem),fire_emblem
542843,nina_(fire_emblem),4,855,nina_(fire_emblem),fire_emblem
1528912,takumi_(fire_emblem),4,727,takumi_(fire_emblem),fire_emblem
1527238,kiran_(fire_emblem),4,854,kiran_(fire_emblem),fire_emblem
1408471,camilla_(fire_emblem),4,1851,camilla_(fire_emblem),fire_emblem
518079,tiki_(fire_emblem),4,1676,tiki_(fire_emblem),fire_emblem
1528887,grima_(fire_emblem),4,683,grima_(fire_emblem),fire_emblem
1528907,corrin_(fire_emblem),4,3761,corrin_(fire_emblem),fire_emblem
938279,lyn_(fire_emblem),4,2069,lyn_(fire_emblem),fire_emblem
1680143,pegasus_knight_uniform_(fire_emblem),0,882,pegasus_knight_uniform_(fire_emblem),fire_emblem
1842585,alear_(fire_emblem),4,1237,alear_(fire_emblem),fire_emblem
1055501,micaiah_(fire_emblem),4,1167,micaiah_(fire_emblem),fire_emblem
518157,peony_(flower),0,915,peony_(flower),flower
518151,anemone_(flower),0,794,anemone_(flower),flower
1726780,egg_(food),0,2626,egg_(food),food
622973,chicken_(food),0,1108,chicken_(food),food
1533721,fish_(food),0,2008,fish_(food),food
